2024-12-18T00:00:34.485268300: 0 mW, 0 mW
2024-12-18T00:00:44.507282500: 0 mW, 9.204 kW
2024-12-18T00:00:54.510898100: 0 mW, 9.225 kW
2024-12-18T00:01:14.523934300: 0 mW, 9.235 kW
2024-12-18T00:01:24.525900600: 0 mW, 9.239 kW
2024-12-18T00:01:44.545790800: 0 mW, 9.246 kW
2024-12-18T00:01:54.558726800: 0 mW, 9.256 kW
2024-12-18T00:02:14.579056400: 0 mW, 9.251 kW
2024-12-18T00:02:24.582118400: 0 mW, 9.243 kW
2024-12-18T00:02:44.602031500: 0 mW, 9.237 kW
2024-12-18T00:02:54.611924700: 0 mW, 9.227 kW
2024-12-18T00:03:14.624650800: 0 mW, 9.221 kW
2024-12-18T00:03:44.644272900: 0 mW, 9.222 kW
2024-12-18T00:03:54.659932700: 0 mW, 9.235 kW
2024-12-18T00:04:14.678589400: 0 mW, 9.244 kW
2024-12-18T00:04:24.691242700: 0 mW, 9.251 kW
2024-12-18T00:04:44.714065300: 0 mW, 8.766 kW
2024-12-18T00:04:54.717885500: 0 mW, 8.266 kW
2024-12-18T00:05:14.746034500: 0 mW, 7.753 kW
2024-12-18T00:05:24.751576300: 0 mW, 7.245 kW
2024-12-18T00:05:44.766835600: 0 mW, 6.762 kW
2024-12-18T00:05:54.777673: 0 mW, 6.764 kW
2024-12-18T00:06:14.795276800: 0 mW, 6.788 kW
2024-12-18T00:06:24.808175800: 0 mW, 6.806 kW
2024-12-18T00:06:44.818351200: 0 mW, 6.833 kW
2024-12-18T00:06:54.831586400: 0 mW, 6.835 kW
2024-12-18T00:07:14.840115: 0 mW, 6.839 kW
2024-12-18T00:07:24.850120900: 0 mW, 7.334 kW
2024-12-18T00:07:44.873349: 0 mW, 7.836 kW
2024-12-18T00:07:54.886825800: 0 mW, 8.321 kW
2024-12-18T00:08:14.913520: 0 mW, 8.819 kW
2024-12-18T00:08:24.921161300: 0 mW, 9.322 kW
2024-12-18T00:08:44.938759700: 0 mW, 9.324 kW
2024-12-18T00:08:54.942598400: 0 mW, 9.262 kW
2024-12-18T00:09:14.955886600: 0 mW, 8.984 kW
2024-12-18T00:09:24.968369600: 0 mW, 8.7 kW
2024-12-18T00:09:44.982665400: 0 mW, 8.421 kW
2024-12-18T00:09:54.997521300: 0 mW, 8.17 kW
2024-12-18T00:10:15.002161: 0 mW, 7.996 kW
2024-12-18T00:10:35.025719200: 0 mW, 8.07 kW
2024-12-18T00:10:45.034292500: 0 mW, 8.15 kW
2024-12-18T00:11:05.056717300: 0 mW, 8.247 kW
2024-12-18T00:11:15.070109800: 0 mW, 8.335 kW
2024-12-18T00:11:35.081080100: 0 mW, 8.402 kW
2024-12-18T00:11:45.083321500: 0 mW, 8.442 kW
2024-12-18T00:12:05.114859400: 0 mW, 7.983 kW
2024-12-18T00:12:15.123229: 0 mW, 7.497 kW
2024-12-18T00:12:35.135608700: 0 mW, 7.003 kW
2024-12-18T00:12:45.149336700: 0 mW, 6.525 kW
2024-12-18T00:13:05.156508900: 0 mW, 6.043 kW
2024-12-18T00:13:15.165047900: 0 mW, 6.067 kW
2024-12-18T00:13:35.186627400: 0 mW, 6.109 kW
2024-12-18T00:13:45.190992500: 0 mW, 6.132 kW
2024-12-18T00:14:05.211873800: 0 mW, 6.164 kW
2024-12-18T00:14:15.223518600: 0 mW, 6.229 kW
2024-12-18T00:14:35.239617300: 0 mW, 6.267 kW
2024-12-18T00:14:45.248195500: 0 mW, 6.306 kW
2024-12-18T00:15:05.259289400: 0 mW, 6.238 kW
2024-12-18T00:15:15.260856200: 0 mW, 6.222 kW
2024-12-18T00:15:35.276755100: 0 mW, 6.211 kW
2024-12-18T00:15:45.290948600: 0 mW, 6.189 kW
2024-12-18T00:16:05.313150: 0 mW, 6.145 kW
2024-12-18T00:16:15.326769600: 0 mW, 6.241 kW
2024-12-18T00:16:35.351136400: 0 mW, 6.263 kW
2024-12-18T00:16:45.353755100: 0 mW, 6.259 kW
2024-12-18T00:17:05.371046500: 0 mW, 5.961 kW
2024-12-18T00:17:15.374599: 0 mW, 5.694 kW
2024-12-18T00:17:45.399418900: 0 mW, 5.43 kW
2024-12-18T00:18:05.401178600: 0 mW, 5.182 kW
2024-12-18T00:18:15.404142500: 0 mW, 4.957 kW
2024-12-18T00:18:35.417054600: 0 mW, 5.064 kW
2024-12-18T00:18:55.432116400: 0 mW, 5.158 kW
2024-12-18T00:19:05.447185900: 0 mW, 5.246 kW
2024-12-18T00:19:25.462986100: 0 mW, 5.331 kW
2024-12-18T00:19:35.475587100: 0 mW, 5.392 kW
2024-12-18T00:19:55.495050200: 0 mW, 5.157 kW
2024-12-18T00:20:05.500813800: 0 mW, 4.908 kW
2024-12-18T00:20:25.519050100: 0 mW, 4.653 kW
2024-12-18T00:20:35.522206400: 0 mW, 4.399 kW
2024-12-18T00:20:55.547603400: 0 mW, 4.146 kW
2024-12-18T00:21:05.558624500: 0 mW, 4.176 kW
2024-12-18T00:21:25.580330300: 0 mW, 4.235 kW
2024-12-18T00:21:35.585566400: 0 mW, 4.29 kW
2024-12-18T00:21:55.601618100: 0 mW, 4.356 kW
2024-12-18T00:22:05.611325400: 0 mW, 4.41 kW
2024-12-18T00:22:25.636732600: 0 mW, 4.461 kW
2024-12-18T00:22:35.651120500: 0 mW, 4.495 kW
2024-12-18T00:22:55.669215100: 0 mW, 4.328 kW
2024-12-18T00:23:05.681017700: 0 mW, 4.289 kW
2024-12-18T00:23:25.703023600: 0 mW, 4.258 kW
2024-12-18T00:23:35.709290100: 0 mW, 4.218 kW
2024-12-18T00:23:55.733622500: 0 mW, 4.171 kW
2024-12-18T00:24:05.740888800: 0 mW, 4.318 kW
2024-12-18T00:24:25.763732700: 0 mW, 4.325 kW
2024-12-18T00:24:35.776463600: 0 mW, 4.336 kW
2024-12-18T00:24:55.800351900: 0 mW, 4.351 kW
2024-12-18T00:25:05.806489300: 0 mW, 4.377 kW
2024-12-18T00:25:25.819504200: 0 mW, 4.391 kW
2024-12-18T00:25:35.828795600: 0 mW, 4.393 kW
2024-12-18T00:25:55.848439600: 0 mW, 4.396 kW
2024-12-18T00:26:05.863852800: 0 mW, 4.4 kW
2024-12-18T00:26:25.875820300: 0 mW, 4.392 kW
2024-12-18T00:26:35.886718200: 0 mW, 4.38 kW
2024-12-18T00:26:55.908261300: 0 mW, 4.379 kW
2024-12-18T00:27:05.909477300: 0 mW, 4.371 kW
2024-12-18T00:27:25.925739300: 0 mW, 4.364 kW
2024-12-18T00:27:35.941240300: 0 mW, 4.133 kW
2024-12-18T00:27:55.957264400: 0 mW, 3.899 kW
2024-12-18T00:28:05.972351700: 0 mW, 3.651 kW
2024-12-18T00:28:25.979573200: 0 mW, 3.394 kW
2024-12-18T00:28:35.990545400: 0 mW, 3.146 kW
2024-12-18T00:28:55.996012500: 0 mW, 3.124 kW
2024-12-18T00:29:16.013318500: 0 mW, 3.118 kW
2024-12-18T00:29:26.016725100: 0 mW, 3.095 kW
2024-12-18T00:29:46.035244200: 0 mW, 3.087 kW
2024-12-18T00:29:56.039981400: 0 mW, 3.081 kW
2024-12-18T00:30:16.050160400: 0 mW, 3.072 kW
2024-12-18T00:30:26.065323200: 0 mW, 3.053 kW
2024-12-18T00:30:46.079591100: 0 mW, 3.069 kW
2024-12-18T00:30:56.087797: 0 mW, 3.078 kW
2024-12-18T00:31:16.103091400: 0 mW, 3.076 kW
2024-12-18T00:31:26.108088400: 0 mW, 3.077 kW
2024-12-18T00:31:46.120826600: 0 mW, 3.088 kW
2024-12-18T00:32:26.159125700: 0 mW, 3.083 kW
2024-12-18T00:32:46.170557700: 0 mW, 3.071 kW
2024-12-18T00:32:56.185027: 0 mW, 3.06 kW
2024-12-18T00:33:16.206252: 0 mW, 3.048 kW
2024-12-18T00:33:26.217662400: 0 mW, 3.037 kW
2024-12-18T00:33:46.239358900: 0 mW, 3.031 kW
2024-12-18T00:33:56.254079900: 0 mW, 3.049 kW
2024-12-18T00:34:16.258163600: 0 mW, 3.063 kW
2024-12-18T00:34:26.268884700: 0 mW, 3.077 kW
2024-12-18T00:34:46.292762200: 0 mW, 3.09 kW
2024-12-18T00:34:56.297302: 0 mW, 3.105 kW
2024-12-18T00:35:26.316029900: 0 mW, 3.112 kW
2024-12-18T00:35:46.332187900: 0 mW, 3.117 kW
2024-12-18T00:35:56.341960700: 0 mW, 3.12 kW
2024-12-18T00:36:26.365763300: 0 mW, 3.123 kW
2024-12-18T00:36:46.371578100: 0 mW, 3.118 kW
2024-12-18T00:36:56.378780100: 0 mW, 3.115 kW
2024-12-18T00:37:16.396479500: 0 mW, 3.113 kW
2024-12-18T00:37:26.400090300: 0 mW, 3.114 kW
2024-12-18T00:37:46.426862100: 0 mW, 3.111 kW
2024-12-18T00:37:56.439004600: 0 mW, 3.113 kW
2024-12-18T00:38:26.464397: 0 mW, 3.124 kW
2024-12-18T00:38:46.475738500: 0 mW, 3.134 kW
2024-12-18T00:38:56.480741300: 0 mW, 3.142 kW
2024-12-18T00:39:16.502040300: 0 mW, 3.145 kW
2024-12-18T00:39:26.517035400: 0 mW, 3.15 kW
2024-12-18T00:39:46.540710900: 0 mW, 3.145 kW
2024-12-18T00:39:56.555231: 0 mW, 3.141 kW
2024-12-18T00:40:16.576027700: 0 mW, 3.122 kW
2024-12-18T00:40:26.591391300: 0 mW, 3.111 kW
2024-12-18T00:40:46.595454500: 0 mW, 3.094 kW
2024-12-18T00:41:06.620133300: 0 mW, 3.077 kW
2024-12-18T00:41:16.623820: 0 mW, 3.06 kW
2024-12-18T00:41:36.637225800: 0 mW, 3.057 kW
2024-12-18T00:41:46.649535100: 0 mW, 3.051 kW
2024-12-18T00:42:06.662632: 0 mW, 3.052 kW
2024-12-18T00:42:16.674835500: 0 mW, 3.049 kW
2024-12-18T00:42:36.690627500: 0 mW, 3.047 kW
2024-12-18T00:43:06.713441400: 0 mW, 3.049 kW
2024-12-18T00:43:16.716605700: 0 mW, 3.047 kW
2024-12-18T00:43:36.739741200: 0 mW, 3.051 kW
2024-12-18T00:44:06.749834300: 0 mW, 3.054 kW
2024-12-18T00:44:16.756086500: 0 mW, 3.062 kW
2024-12-18T00:44:36.771124: 0 mW, 3.071 kW
2024-12-18T00:44:46.772101900: 0 mW, 3.076 kW
2024-12-18T00:45:06.791925900: 0 mW, 3.086 kW
2024-12-18T00:45:16.799193300: 0 mW, 3.092 kW
2024-12-18T00:45:36.804080200: 0 mW, 3.104 kW
2024-12-18T00:45:46.811894: 0 mW, 3.117 kW
2024-12-18T00:46:06.818829700: 0 mW, 3.136 kW
2024-12-18T00:46:36.844005900: 0 mW, 3.137 kW
2024-12-18T00:46:46.852382700: 0 mW, 3.126 kW
2024-12-18T00:47:06.867547: 0 mW, 3.114 kW
2024-12-18T00:47:16.880400800: 0 mW, 3.098 kW
2024-12-18T00:47:36.889262: 0 mW, 2.479 kW
2024-12-18T00:47:56.905076600: 0 mW, 2.478 kW
2024-12-18T00:48:06.906315600: 0 mW, 1.983 kW
2024-12-18T00:48:26.930400400: 0 mW, 1.488 kW
2024-12-18T00:48:36.933589600: 0 mW, 990.8 W
2024-12-18T00:48:56.949810500: 0 mW, 1.113 kW
2024-12-18T00:49:06.954637600: 0 mW, 615.8 W
2024-12-18T00:49:26.971405900: 0 mW, 614.8 W
2024-12-18T00:49:36.982317500: 0 mW, 611.2 W
2024-12-18T00:49:56.986760300: 0 mW, 612.2 W
2024-12-18T00:50:06.987612: 0 mW, 614.8 W
2024-12-18T00:50:27.004331: 0 mW, 618.4 W
2024-12-18T00:50:37.015208500: 0 mW, 618.6 W
2024-12-18T00:50:57.025375600: 0 mW, 621.6 W
2024-12-18T00:51:07.030302100: 0 mW, 624.4 W
2024-12-18T00:51:27.043503200: 0 mW, 621.8 W
2024-12-18T00:51:37.057586800: 0 mW, 618 W
2024-12-18T00:51:57.077599600: 0 mW, 615.8 W
2024-12-18T00:52:07.092194100: 0 mW, 613.6 W
2024-12-18T00:52:27.109874300: 0 mW, 610 W
2024-12-18T00:52:37.123377600: 0 mW, 612.8 W
2024-12-18T00:52:57.148775900: 0 mW, 616.2 W
2024-12-18T00:53:07.162920500: 0 mW, 618.4 W
2024-12-18T00:53:27.181320600: 0 mW, 618 W
2024-12-18T00:53:37.196532200: 0 mW, 618.4 W
2024-12-18T00:53:57.202065700: 0 mW, 616 W
2024-12-18T00:54:07.211371900: 0 mW, 612.8 W
2024-12-18T00:54:27.213849800: 0 mW, 612 W
2024-12-18T00:54:47.220269600: 0 mW, 612.4 W
2024-12-18T00:54:57.225651500: 0 mW, 602.6 W
2024-12-18T00:55:17.237248: 0 mW, 595 W
2024-12-18T00:55:27.249865: 0 mW, 591 W
2024-12-18T00:55:47.260667700: 0 mW, 583 W
2024-12-18T00:55:57.262142600: 0 mW, 580.2 W
2024-12-18T00:56:17.282600400: 0 mW, 586.2 W
2024-12-18T00:56:27.296318200: 0 mW, 587.6 W
2024-12-18T00:56:47.324070300: 0 mW, 587.8 W
2024-12-18T00:56:57.339207300: 0 mW, 589.2 W
2024-12-18T00:57:17.363347600: 0 mW, 587.8 W
2024-12-18T00:57:27.365857600: 0 mW, 587.6 W
2024-12-18T00:57:47.369319200: 0 mW, 587.4 W
2024-12-18T00:57:57.381255900: 0 mW, 586.6 W
2024-12-18T00:58:17.388258600: 0 mW, 571 W
2024-12-18T00:58:27.396400800: 0 mW, 544.2 W
2024-12-18T00:58:47.408846800: 0 mW, 527.4 W
2024-12-18T00:58:57.415787200: 0 mW, 513.2 W
2024-12-18T00:59:17.429442600: 0 mW, 487.4 W
2024-12-18T00:59:27.434125300: 0 mW, 484.8 W
2024-12-18T00:59:47.450789: 0 mW, 516.2 W
2024-12-18T00:59:57.454810500: 0 mW, 529 W
2024-12-18T01:00:17.468685400: 0 mW, 546 W
2024-12-18T01:00:27.474204700: 0 mW, 576.4 W
2024-12-18T01:00:47.490582: 0 mW, 590.6 W
2024-12-18T01:00:57.497373100: 0 mW, 580.4 W
2024-12-18T01:01:17.515782800: 0 mW, 578.6 W
2024-12-18T01:01:27.528352200: 0 mW, 582 W
2024-12-18T01:01:47.536136200: 0 mW, 572 W
2024-12-18T01:02:07.543591300: 0 mW, 581 W
2024-12-18T01:02:17.548257800: 0 mW, 589.4 W
2024-12-18T01:02:37.561702200: 0 mW, 587.6 W
2024-12-18T01:02:47.576798900: 0 mW, 577.4 W
2024-12-18T01:03:07.590687800: 0 mW, 577.2 W
2024-12-18T01:03:17.594737700: 0 mW, 567 W
2024-12-18T01:03:37.614057800: 0 mW, 558 W
2024-12-18T01:03:47.625698200: 0 mW, 568.4 W
2024-12-18T01:04:07.652822800: 0 mW, 572.6 W
2024-12-18T01:04:17.662704200: 0 mW, 577 W
2024-12-18T01:04:37.683280200: 0 mW, 572.2 W
2024-12-18T01:04:47.691539900: 0 mW, 566.4 W
2024-12-18T01:05:07.704078700: 0 mW, 557.4 W
2024-12-18T01:05:17.717686600: 0 mW, 549.8 W
2024-12-18T01:05:37.733509900: 0 mW, 547.2 W
2024-12-18T01:05:47.748817800: 0 mW, 546.6 W
2024-12-18T01:06:07.775444900: 0 mW, 542.8 W
2024-12-18T01:06:17.788155900: 0 mW, 536.8 W
2024-12-18T01:06:37.798876500: 0 mW, 532 W
2024-12-18T01:06:47.812501500: 0 mW, 522.4 W
2024-12-18T01:07:07.823307400: 0 mW, 526.4 W
2024-12-18T01:07:17.835431200: 0 mW, 533.8 W
2024-12-18T01:07:37.845469100: 0 mW, 526.6 W
2024-12-18T01:07:47.857517900: 0 mW, 524.2 W
2024-12-18T01:08:07.872237300: 0 mW, 530 W
2024-12-18T01:08:17.887854600: 0 mW, 523.8 W
2024-12-18T01:08:37.911402900: 0 mW, 524 W
2024-12-18T01:08:47.922676: 0 mW, 534 W
2024-12-18T01:09:07.942200900: 0 mW, 536.8 W
2024-12-18T01:09:17.947878600: 0 mW, 525.6 W
2024-12-18T01:09:37.957931500: 0 mW, 529.4 W
2024-12-18T01:09:47.964323400: 0 mW, 536.8 W
2024-12-18T01:10:07.981907900: 0 mW, 547.6 W
2024-12-18T01:10:17.985034300: 0 mW, 561.6 W
2024-12-18T01:10:38.002876600: 0 mW, 571.6 W
2024-12-18T01:10:48.008024200: 0 mW, 585 W
2024-12-18T01:11:08.030357600: 0 mW, 594.4 W
2024-12-18T01:11:18.033011500: 0 mW, 599.6 W
2024-12-18T01:11:38.049195500: 0 mW, 598.4 W
2024-12-18T01:11:48.050761300: 0 mW, 613.4 W
2024-12-18T01:12:08.076077900: 0 mW, 619.2 W
2024-12-18T01:12:18.084764: 0 mW, 614 W
2024-12-18T01:12:38.099768700: 0 mW, 611.2 W
2024-12-18T01:12:48.109861800: 0 mW, 621.6 W
2024-12-18T01:13:08.131063700: 0 mW, 616 W
2024-12-18T01:13:28.146396800: 0 mW, 606.2 W
2024-12-18T01:13:38.151490700: 0 mW, 610.2 W
2024-12-18T01:13:58.159193100: 0 mW, 607.6 W
2024-12-18T01:14:08.171964900: 0 mW, 598.2 W
2024-12-18T01:14:28.201559300: 0 mW, 596.4 W
2024-12-18T01:14:38.205958200: 0 mW, 605.2 W
2024-12-18T01:14:58.224305300: 0 mW, 621 W
2024-12-18T01:15:08.236382200: 0 mW, 643.2 W
2024-12-18T01:15:28.252878: 0 mW, 664.4 W
2024-12-18T01:15:38.253534700: 0 mW, 687.8 W
2024-12-18T01:15:58.274954600: 0 mW, 697.8 W
2024-12-18T01:16:08.284068800: 0 mW, 684 W
2024-12-18T01:16:28.303274300: 0 mW, 826.2 W
2024-12-18T01:16:38.311021900: 0 mW, 832 W
2024-12-18T01:16:58.323414100: 0 mW, 822.8 W
2024-12-18T01:17:08.334850: 0 mW, 806.4 W
2024-12-18T01:17:38.349075200: 0 mW, 809 W
2024-12-18T01:17:48.350680400: 0 mW, 654.8 W
2024-12-18T01:18:08.357474100: 0 mW, 634 W
2024-12-18T01:18:18.361330600: 0 mW, 627.2 W
2024-12-18T01:18:38.375586200: 0 mW, 635.8 W
2024-12-18T01:18:48.389216: 0 mW, 636.2 W
2024-12-18T01:19:08.410488100: 0 mW, 629 W
2024-12-18T01:19:28.414574600: 0 mW, 642.2 W
2024-12-18T01:19:38.425210100: 0 mW, 647.8 W
2024-12-18T01:19:58.440361300: 0 mW, 648.2 W
2024-12-18T01:20:08.442103800: 0 mW, 655.8 W
2024-12-18T01:20:28.445391200: 0 mW, 662.6 W
2024-12-18T01:20:38.459282300: 0 mW, 655.6 W
2024-12-18T01:20:58.474964800: 0 mW, 656.2 W
2024-12-18T01:21:08.486774: 0 mW, 679.4 W
2024-12-18T01:21:28.512385900: 0 mW, 686.8 W
2024-12-18T01:21:38.513486900: 0 mW, 691 W
2024-12-18T01:21:58.521029400: 0 mW, 695.4 W
2024-12-18T01:22:08.526007900: 0 mW, 708.8 W
2024-12-18T01:22:28.534824200: 0 mW, 691 W
2024-12-18T01:22:38.539650600: 0 mW, 688.8 W
2024-12-18T01:22:58.544204300: 0 mW, 699.4 W
2024-12-18T01:23:08.557319800: 0 mW, 710 W
2024-12-18T01:23:28.562389600: 0 mW, 703.6 W
2024-12-18T01:23:38.564238500: 0 mW, 699.2 W
2024-12-18T01:23:58.578641100: 0 mW, 689.4 W
2024-12-18T01:24:08.593895: 0 mW, 679.2 W
2024-12-18T01:24:28.610514100: 0 mW, 666.6 W
2024-12-18T01:24:38.612079900: 0 mW, 658.2 W
2024-12-18T01:24:58.622398400: 0 mW, 653.2 W
2024-12-18T01:25:08.631724400: 0 mW, 645.6 W
2024-12-18T01:25:28.646681200: 0 mW, 647.6 W
2024-12-18T01:25:38.651874700: 0 mW, 649.8 W
2024-12-18T01:25:58.666427700: 0 mW, 658.2 W
2024-12-18T01:26:08.681970700: 0 mW, 665.4 W
2024-12-18T01:26:28.685962400: 0 mW, 678.4 W
2024-12-18T01:26:58.712246900: 0 mW, 690.8 W
2024-12-18T01:27:18.719411100: 0 mW, 689.8 W
2024-12-18T01:27:28.724688900: 0 mW, 683.4 W
2024-12-18T01:27:48.732398200: 0 mW, 679.8 W
2024-12-18T01:27:58.737575500: 0 mW, 671.2 W
2024-12-18T01:28:18.755569400: 0 mW, 642.6 W
2024-12-18T01:28:28.769677900: 0 mW, 633.4 W
2024-12-18T01:28:48.782238900: 0 mW, 636.4 W
2024-12-18T01:28:58.783390100: 0 mW, 625 W
2024-12-18T01:29:18.804314: 0 mW, 614.4 W
2024-12-18T01:29:28.814826200: 0 mW, 615.2 W
2024-12-18T01:29:48.841834100: 0 mW, 608.6 W
2024-12-18T01:29:58.852815: 0 mW, 607.8 W
2024-12-18T01:30:18.869502300: 0 mW, 607 W
2024-12-18T01:30:28.880828200: 0 mW, 614 W
2024-12-18T01:30:48.888628700: 0 mW, 615.8 W
2024-12-18T01:30:58.896149200: 0 mW, 599 W
2024-12-18T01:31:18.918474: 0 mW, 575 W
2024-12-18T01:31:28.928447800: 0 mW, 555.4 W
2024-12-18T01:31:48.950860900: 0 mW, 541.6 W
2024-12-18T01:31:58.957653900: 0 mW, 533.2 W
2024-12-18T01:32:18.972057400: 0 mW, 565 W
2024-12-18T01:32:28.982694: 0 mW, 586.8 W
2024-12-18T01:32:49.009476900: 0 mW, 615 W
2024-12-18T01:32:59.010307600: 0 mW, 636.6 W
2024-12-18T01:33:19.029949700: 0 mW, 655.4 W
2024-12-18T01:33:29.044026: 0 mW, 652 W
2024-12-18T01:33:49.056924300: 0 mW, 671 W
2024-12-18T01:33:59.069816500: 0 mW, 877.6 W
2024-12-18T01:34:19.091982900: 0 mW, 1.078 kW
2024-12-18T01:34:29.106482100: 0 mW, 1.276 kW
2024-12-18T01:34:49.125986600: 0 mW, 1.468 kW
2024-12-18T01:34:59.127936200: 0 mW, 1.645 kW
2024-12-18T01:35:19.145638400: 0 mW, 1.64 kW
2024-12-18T01:35:29.148206800: 0 mW, 1.629 kW
2024-12-18T01:36:09.176221700: 0 mW, 1.625 kW
2024-12-18T01:36:19.190177: 0 mW, 1.632 kW
2024-12-18T01:36:39.204223200: 0 mW, 1.628 kW
2024-12-18T01:36:49.208877100: 0 mW, 1.634 kW
2024-12-18T01:37:09.228685900: 0 mW, 1.644 kW
2024-12-18T01:37:19.241524900: 0 mW, 1.668 kW
2024-12-18T01:37:39.247496100: 0 mW, 1.687 kW
2024-12-18T01:37:49.261071400: 0 mW, 1.71 kW
2024-12-18T01:38:09.274985500: 0 mW, 1.743 kW
2024-12-18T01:38:19.277846600: 0 mW, 1.764 kW
2024-12-18T01:38:39.300101800: 0 mW, 1.783 kW
2024-12-18T01:38:49.314022300: 0 mW, 1.797 kW
2024-12-18T01:39:09.324621400: 0 mW, 1.796 kW
2024-12-18T01:39:19.328232500: 0 mW, 1.789 kW
2024-12-18T01:39:49.350155500: 0 mW, 1.787 kW
2024-12-18T01:40:09.373413500: 0 mW, 1.776 kW
2024-12-18T01:40:19.388451400: 0 mW, 1.778 kW
2024-12-18T01:40:39.395339800: 0 mW, 1.785 kW
2024-12-18T01:40:49.405668900: 0 mW, 1.779 kW
2024-12-18T01:41:09.427177700: 0 mW, 1.785 kW
2024-12-18T01:41:19.439289100: 0 mW, 1.784 kW
2024-12-18T01:41:39.455989200: 0 mW, 1.796 kW
2024-12-18T01:41:49.460162400: 0 mW, 1.791 kW
2024-12-18T01:42:09.467308600: 0 mW, 1.795 kW
2024-12-18T01:42:19.473033800: 0 mW, 1.79 kW
2024-12-18T01:42:39.489335600: 0 mW, 1.807 kW
2024-12-18T01:42:49.497757: 0 mW, 1.957 kW
2024-12-18T01:43:09.503872: 0 mW, 2.143 kW
2024-12-18T01:43:19.505928300: 0 mW, 2.328 kW
2024-12-18T01:43:39.518014900: 0 mW, 2.547 kW
2024-12-18T01:43:49.533196800: 0 mW, 2.752 kW
2024-12-18T01:44:09.537778900: 0 mW, 2.824 kW
2024-12-18T01:44:19.540412500: 0 mW, 2.87 kW
2024-12-18T01:44:39.564837900: 0 mW, 2.905 kW
2024-12-18T01:44:49.569104400: 0 mW, 2.912 kW
2024-12-18T01:45:09.584572400: 0 mW, 2.916 kW
2024-12-18T01:45:19.600394500: 0 mW, 2.9 kW
2024-12-18T01:45:39.614442100: 0 mW, 2.891 kW
2024-12-18T01:45:49.618962: 0 mW, 2.895 kW
2024-12-18T01:46:09.633465: 0 mW, 2.89 kW
2024-12-18T01:46:19.642833400: 0 mW, 2.913 kW
2024-12-18T01:46:39.663672: 0 mW, 2.952 kW
2024-12-18T01:46:59.672442: 0 mW, 2.985 kW
2024-12-18T01:47:09.673572: 0 mW, 3.018 kW
2024-12-18T01:47:39.689106: 0 mW, 3.556 kW
2024-12-18T01:47:49.694198900: 0 mW, 4.07 kW
2024-12-18T01:48:09.712663100: 0 mW, 4.579 kW
2024-12-18T01:48:19.721287: 0 mW, 5.079 kW
2024-12-18T01:48:39.737653500: 0 mW, 5.578 kW
2024-12-18T01:49:19.773310300: 0 mW, 5.579 kW
2024-12-18T01:49:39.779245400: 0 mW, 5.573 kW
2024-12-18T01:50:09.815942: 0 mW, 5.57 kW
2024-12-18T01:50:29.836756600: 0 mW, 5.555 kW
2024-12-18T01:50:39.843511: 0 mW, 5.532 kW
2024-12-18T01:50:59.870815800: 0 mW, 5.537 kW
2024-12-18T01:51:09.883662800: 0 mW, 5.532 kW
2024-12-18T01:51:29.901766500: 0 mW, 5.525 kW
2024-12-18T01:51:39.907157100: 0 mW, 5.536 kW
2024-12-18T01:51:59.927074: 0 mW, 5.549 kW
